"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","municipality_id","stop_desc","stop_timezone","wheelchair_boarding","platform_code","vehicle_type"
"114491","Jo0209","Sariolankatu L","62.60292678","29.80901097","1","","0","","167","","","0","",""
"114493","Jo0157","Oksoja L","62.6030454","29.81655097","1","","0","","167","","","0","",""
"114496","Jo0028","Iiksenportti L","62.5997108","29.83390405","1","","0","","167","","","0","",""
"114497","Jo0029","Iiksenportti I","62.59986649","29.83618218","1","","0","","167","","","0","",""
"114498","Jo0073","Kissamäentie  L","62.60081286","29.83996375","1","","0","","167","","","0","",""
"114499","Jo0074","Kissamäentie  I","62.60113368","29.84123794","1","","0","","167","","","0","",""
"114502","Jo0186","Pyörretie P","62.59910225","29.82746705","1","","0","","167","","","0","",""
"114503","Jo0185","Pyörretie E","62.59862895","29.82627432","1","","0","","167","","","0","",""
"114504","Jo0155","Nyyrikinkatu I","62.59742766","29.81694346","1","","0","","167","","","0","",""
"114505","Jo0154","Nyyrikinkatu L","62.59782605","29.81438796","1","","0","","167","","","0","",""
"114506","Jo0226","Sommelo L","62.59900798","29.80871028","1","","0","","167","","","0","",""
"114507","Jo0227","Sommelo I","62.59863383","29.81051422","1","","0","","167","","","0","",""
"114508","Jo0111","Lepikkoaho L","62.60027893","29.80396256","1","","0","","167","","","0","",""
"114533","Jo0068","Ketunpesät  L","62.56053841","29.89370218","1","","0","","167","","","0","",""
"114535","Jo0092","Kupluskylä E","62.62825356530966","29.88838386593829","1","","0","","167","","","0","",""
"114536","Jo0250","Törö P","62.62520785","29.8833416","1","","0","","167","","","0","",""
"114537","Jo0249","Törö E","62.62456322","29.88269544","1","","0","","167","","","0","",""
"114541","Jo0143","Mustosenkatu I","62.6201693","29.8686918","1","","0","","167","","","0","",""
"114542","Jo0142","Mustosenkatu P","62.62010802","29.86746601","1","","0","","167","","","0","",""
"114543","Jo0269","Vesisahantie P","62.62266796","29.86566522","1","","0","","167","","","0","",""
"114544","Jo0268","Vesisahantie E","62.62295748","29.86518325","1","","0","","167","","","0","",""
"114561","Jo0020","Hiekkalantie L","62.6251877","29.86108037","1","","0","","167","","","0","",""
"114562","Jo0019","Hiekkalantie I","62.62524867","29.85982016","1","","0","","167","","","0","",""
"114563","Jo0232","Talastie L","62.62381208","29.85645252","1","","0","","167","","","0","",""
"114564","Jo0078","Koillisväylä P","62.62298870454215","29.856548546508254","1","","0","","167","","","0","",""
"114565","Jo0077","Koillisväylä E","62.62344098","29.85599199","1","","0","","167","","","0","",""
"114566","Jo0075","Koillisportti  L","62.62668315943608","29.85287281821179","1","","0","","167","","","0","",""
"114568","Jo0202","Repsikankatu L","62.62765758","29.84738362","1","","0","","167","","","0","",""
"114569","Jo0253","Upokaskuja I","62.62739543","29.84261506","1","","0","","167","","","0","",""
"114570","Jo0259","Utrantori P","62.62011551500948","29.858419342540866","1","","0","","167","","","0","",""
"114571","Jo0103","Lasinpuhaltajantie I","62.61900661","29.85907353","1","","0","","167","","","0","",""
"114572","Jo0102","Lasinpuhaltajantie L","62.61882463","29.8571561","1","","0","","167","","","0","",""
"114573","Jo0138","Miilunpolttajantie I","62.61830538","29.85284149","1","","0","","167","","","0","",""
"114574","Jo0137","Miilunpolttajantie L","62.61801774","29.85131194","1","","0","","167","","","0","",""
"114575","Jo0100","Laivurintie L","62.61680226","29.84527833","1","","0","","167","","","0","",""
"114576","Jo0101","Laivurintie I","62.61698512","29.84661248","1","","0","","167","","","0","",""
"114577","Jo0258","Utrantie I","62.61669292","29.83861168","1","","0","","167","","","0","",""
"114578","Jo0257","Utrantie L","62.61675379","29.83836734","1","","0","","167","","","0","",""
"114579","Jo0267","Verkkotie E","62.61762678","29.83762331","1","","0","","167","","","0","",""
"114580","Jo0180","Pilkkitie E","62.62070068","29.83778876","1","","0","","167","","","0","",""
"114581","Jo0091","Kuohutie I","62.6217521","29.83285104","1","","0","","167","","","0","",""
"114582","Jo0017","Harustie I","62.62179484","29.82739315","1","","0","","167","","","0","",""
"114583","Jo0206","Ruuhitie I","62.62129728","29.81966778","1","","0","","167","","","0","",""
"114585","Jo0105","Latolankatu I","62.61700579","29.82986201","1","","0","","167","","","0","",""
"114586","Jo0104","Latolankatu L","62.617118","29.829175","1","","0","","167","","","0","",""
"114588","Jo0169","Pataluoto L","62.61287047","29.83038611","1","","0","","167","","","0","",""
"114589","Jo0251","Uikunkatu L","62.610872984139476","29.823825295736548","1","","0","","167","","","0","",""
"114590","Jo0182","Pursitie P","62.61124592","29.81369052","1","","0","","167","","","0","",""
"114593","Jo0205","Ruoritie P","62.61347044","29.81378024","1","","0","","167","","","0","",""
"114594","Jo0189","Rantakylä I","62.61517792255809","29.81531578465559","1","","0","","167","","","0","",""
"114595","Jo0190","Rantakylä L","62.615569399640954","29.817233057671384","1","","0","","167","","","0","",""
"114598","Jo0203","Riippapuisto P","62.618459","29.819061","1","","0","","167","","","0","",""
"114599","Jo0109","Lauttatie E","62.61613722","29.80970785","1","","0","","167","","","0","",""
"114600","Jo0033","Juhanintie E","62.61950879","29.80946717","1","","0","","167","","","0","",""
"114601","Jo0159","Ollilanpuisto P","62.621898","29.80898405","1","","0","","167","","","0","",""
"114602","Jo0243","Toukolankatu E","62.6241645","29.80746955","1","","0","","167","","","0","",""
"114603","Jo0263","Varikko I","62.62578101","29.80472573","1","","0","","167","","","0","",""
"114604","Jo0262","Varikko L","62.62583819","29.80456555","1","","0","","167","","","0","",""
"114605","Jo0188","Raivaajantie I","62.62681207","29.800578","1","","0","","167","","","0","",""
"114607","Jo0053","Kartoittajantie P","62.62646269","29.79595427","1","","0","","167","","","0","",""
"114608","Jo0054","Kartoittajantie E","62.62703135","29.79654865","1","","0","","167","","","0","",""
"114609","Jo0107","Lattamiehentie P","62.6228445","29.79206118","1","","0","","167","","","0","",""
"114610","Jo0106","Lattamiehentie E","62.6218348","29.79107634","1","","0","","167","","","0","",""
"114615","Jo0094","Kurjenkatu I","62.61395203","29.80467537","1","","0","","167","","","0","",""
"114616","Jo0093","Kurjenkatu L","62.61371312","29.80268904","1","","0","","167","","","0","",""
"114617","Jo0147","Mutalan koulu I","62.61395375","29.78707443","1","","0","","167","","","0","",""
"114618","Jo0146","Mutalan koulu L","62.61346085","29.78572769","1","","0","","167","","","0","",""
"114630","Jo0217","Siihtala I","62.60895546","29.78565014","1","","0","","167","","","0","",""
"114631","Jo0216","Siihtala L","62.60820464","29.78384754","1","","0","","167","","","0","",""
"114632","Jo0195","Rauhanpuisto I","62.60735717","29.77528667","1","","0","","167","","","0","",""
"114633","Jo0194","Rauhanpuisto E","62.60712126","29.77349607","1","","0","","167","","","0","",""
"114634","Jo0172","Penttilänkatu E","62.59586357","29.77111832","1","","0","","167","","","0","",""
